pack_id,age_days,cycle_count,avg_ambient,max_pack_temp,avg_C_rate,avg_SOC,hours_above_40,cumulative_Wh,SoH
1,1319,1344,34.5,46.26,0.05,41.56,60.23,5857411.3,42.423
2,1015,1143,34.67,42.93,1.476,73.42,0.0,4187671.2,51.615
3,575,1913,28.89,34.17,1.534,62.22,15.73,4943031.5,54.931
4,1106,505,32.58,49.15,0.556,55.78,0.0,1721377.1,86.135
5,1382,1453,25.05,35.66,1.246,74.78,0.0,6413967.8,35.0
6,501,2063,31.34,42.06,0.841,70.2,100.5,8490268.5,35.0
7,1026,1727,28.35,42.33,0.281,82.43,0.0,7417459.1,35.0
8,208,1699,34.76,41.37,0.523,80.44,34.7,7747795.5,35.0
9,1715,880,30.85,41.62,0.544,67.85,100.05,2832861.3,67.171
10,688,117,27.71,30.93,1.092,56.55,51.0,287461.5,93.906
11,357,1174,27.46,35.14,0.05,38.95,0.0,5735803.6,46.526
12,931,834,37.8,44.37,1.243,48.19,33.56,1909170.2,74.983
13,1416,646,32.61,41.56,0.444,38.97,55.77,2686319.2,77.263
14,306,1773,28.56,32.47,0.908,68.96,158.74,5300531.8,46.978
15,375,1783,26.16,30.46,0.566,40.22,100.81,3687977.9,68.069
16,950,2359,35.03,51.02,2.548,72.46,0.0,8068884.5,35.0
17,1103,1585,26.33,33.76,1.44,67.83,37.31,5804441.9,35.0
18,264,879,31.68,46.76,0.878,82.69,10.06,2365074.3,72.133
19,1107,1144,25.07,36.43,0.258,81.77,80.8,4055676.1,55.62
20,385,535,27.27,30.37,0.05,68.11,176.33,2499721.9,71.265
21,955,981,31.32,37.67,1.464,72.72,172.86,2734421.3,70.804
22,92,412,40.34,47.62,0.57,91.31,0.0,1207560.1,81.988
23,1013,1527,29.02,38.37,1.644,66.63,101.52,3612114.7,60.665
24,1539,1764,24.73,31.39,1.35,41.12,52.45,4182905.1,53.917
25,1947,937,36.02,46.17,1.602,62.22,0.0,1943880.0,77.499
26,1686,362,30.54,39.46,2.31,98.78,0.0,1597536.0,81.243
27,1698,102,37.24,42.32,0.408,26.35,36.99,389440.8,91.883
28,254,1973,19.45,21.59,2.078,41.83,0.0,8779270.5,35.0
29,966,1803,32.05,46.96,0.208,60.58,112.19,4501361.1,47.974
30,927,390,28.57,35.51,0.939,55.0,87.72,1576436.0,83.193
31,1969,1538,30.0,35.11,0.99,63.25,217.45,5711667.5,43.989
